date,close,ema25,ema120,tsmom40_sign,donch20_hi,donch10_lo,sleeve_trend,sleeve_tsmom,sleeve_donch,target_frac,action
2017-08-17,4285.08,4285.08,4285.08,0,,,0,0,0,0.0,HOLD
2017-08-18,4108.37,4271.49,4282.16,0,,,0,0,0,0.0,HOLD
2017-08-19,4139.98,4261.37,4279.81,0,,,0,0,0,0.0,HOLD
2017-08-20,4086.29,4247.9,4276.61,0,,,0,0,0,0.0,HOLD
2017-08-21,4016.0,4230.06,4272.3,0,,,0,0,0,0.0,HOLD
2017-08-22,4040.0,4215.44,4268.46,0,,,0,0,0,0.0,HOLD
2017-08-23,4114.01,4207.64,4265.91,0,,,0,0,0,0.0,HOLD
2017-08-24,4316.01,4215.98,4266.74,0,,,0,0,0,0.0,HOLD
2017-08-25,4280.68,4220.95,4266.97,0,,,0,0,0,0.0,HOLD
2017-08-26,4337.44,4229.92,4268.13,0,,,0,0,0,0.0,HOLD
2017-08-27,4310.01,4236.08,4268.83,0,,4016.0,0,0,0,0.0,HOLD
2017-08-28,4386.69,4247.66,4270.77,0,,4016.0,0,0,0,0.0,HOLD
2017-08-29,4587.48,4273.8,4276.01,0,,4016.0,0,0,0,0.0,HOLD
2017-08-30,4555.14,4295.44,4280.62,0,,4016.0,0,0,0,0.0,HOLD
2017-08-31,4724.89,4328.48,4287.97,0,,4016.0,0,0,0,0.0,HOLD
2017-09-01,4834.91,4367.43,4297.01,0,,4040.0,0,0,0,0.0,HOLD
2017-09-02,4472.14,4375.49,4299.9,0,,4114.01,0,0,0,0.0,HOLD
2017-09-03,4509.08,4385.76,4303.36,0,,4280.68,0,0,0,0.0,HOLD
2017-09-04,4100.11,4363.79,4300.0,0,,4280.68,0,0,0,0.0,HOLD
2017-09-05,4366.47,4364.0,4301.1,0,,4100.11,0,0,0,0.0,HOLD
2017-09-06,4619.77,4383.67,4306.36,0,4834.91,4100.11,0,0,0,0.0,HOLD
2017-09-07,4691.61,4407.36,4312.73,0,4834.91,4100.11,0,0,0,0.0,HOLD
2017-09-08,4282.8,4397.78,4312.24,0,4834.91,4100.11,0,0,0,0.0,HOLD
2017-09-09,4258.81,4387.09,4311.35,0,4834.91,4100.11,0,0,0,0.0,HOLD
2017-09-10,4130.37,4367.34,4308.36,0,4834.91,4100.11,0,0,0,0.0,HOLD
2017-09-11,4208.47,4355.12,4306.71,0,4834.91,4100.11,0,0,0,0.0,HOLD
2017-09-12,4163.72,4340.4,4304.35,0,4834.91,4100.11,0,0,0,0.0,HOLD
2017-09-13,3944.69,4309.96,4298.4,0,4834.91,4100.11,0,0,-1,0.0,HOLD
2017-09-14,3189.02,4223.73,4280.07,0,4834.91,3944.69,0,0,-1,0.0,HOLD
2017-09-15,3700.0,4183.44,4270.48,0,4834.91,3189.02,0,0,-1,0.0,HOLD
2017-09-16,3714.95,4147.41,4261.3,0,4834.91,3189.02,0,0,-1,0.0,HOLD
2017-09-17,3699.99,4112.99,4252.02,0,4834.91,3189.02,0,0,-1,0.0,HOLD
2017-09-18,4035.01,4106.99,4248.43,0,4834.91,3189.02,0,0,-1,0.0,HOLD
2017-09-19,3910.04,4091.84,4242.84,0,4834.91,3189.02,0,0,-1,0.0,HOLD
2017-09-20,3900.0,4077.08,4237.17,0,4834.91,3189.02,0,0,-1,0.0,HOLD
2017-09-21,3609.99,4041.15,4226.81,0,4834.91,3189.02,0,0,-1,0.0,HOLD
2017-09-22,3595.87,4006.9,4216.38,0,4691.61,3189.02,0,0,-1,0.0,HOLD
2017-09-23,3780.0,3989.45,4209.16,0,4691.61,3189.02,0,0,-1,0.0,HOLD
2017-09-24,3660.02,3964.11,4200.09,0,4691.61,3189.02,0,0,-1,0.0,HOLD
2017-09-25,3920.75,3960.77,4195.47,0,4691.61,3595.87,0,0,-1,0.0,HOLD
2017-09-26,3882.35,3954.74,4190.29,-1,4691.61,3595.87,0,-1,-1,0.0,HOLD
2017-09-27,4193.0,3973.07,4190.34,1,4691.61,3595.87,0,1,0,0.333333,BUY 0.3333
2017-09-28,4174.5,3988.56,4190.08,1,4282.8,3595.87,0,1,0,0.333333,HOLD
2017-09-29,4174.69,4002.88,4189.82,1,4258.81,3595.87,0,1,0,0.333333,HOLD
2017-09-30,4378.51,4031.77,4192.94,1,4208.47,3595.87,0,1,1,0.666667,BUY 0.3333
2017-10-01,4378.48,4058.44,4196.01,1,4378.51,3595.87,0,1,1,0.666667,HOLD
2017-10-02,4380.0,4083.18,4199.05,1,4378.51,3595.87,0,1,1,0.666667,HOLD
2017-10-03,4310.0,4100.63,4200.88,-1,4380.0,3660.02,0,-1,1,0.0,SELL 0.6667
2017-10-04,4208.59,4108.93,4201.01,-1,4380.0,3660.02,0,-1,1,0.0,HOLD
2017-10-05,4292.43,4123.05,4202.52,-1,4380.0,3882.35,0,-1,1,0.0,HOLD
2017-10-06,4369.0,4141.97,4205.27,1,4380.0,3882.35,0,1,1,0.666667,BUY 0.6667
2017-10-07,4423.0,4163.58,4208.87,1,4380.0,4174.5,0,1,1,0.666667,HOLD
2017-10-08,4640.0,4200.23,4216.0,1,4423.0,4174.5,0,1,1,0.666667,HOLD
2017-10-09,4786.95,4245.36,4225.44,1,4640.0,4174.69,0,1,1,0.666667,HOLD
2017-10-10,4783.06,4286.73,4234.65,1,4786.95,4208.59,0,1,1,0.666667,HOLD
2017-10-11,4821.43,4327.86,4244.35,-1,4786.95,4208.59,0,-1,1,0.0,SELL 0.6667
2017-10-12,5430.0,4412.64,4263.95,1,4821.43,4208.59,0,1,1,0.666667,BUY 0.6667
2017-10-13,5649.98,4507.82,4286.86,1,5430.0,4208.59,0,1,1,0.666667,HOLD
2017-10-14,5869.99,4612.6,4313.03,1,5649.98,4208.59,0,1,1,0.666667,HOLD
2017-10-15,5709.99,4697.01,4336.12,1,5869.99,4292.43,0,1,1,0.666667,HOLD
2017-10-16,5760.02,4778.78,4359.65,1,5869.99,4369.0,0,1,1,0.666667,HOLD
2017-10-17,5595.0,4841.57,4380.07,1,5869.99,4423.0,0,1,1,0.666667,HOLD
2017-10-18,5512.06,4893.15,4398.78,1,5869.99,4640.0,0,1,1,0.666667,HOLD
2017-10-19,5683.9,4953.97,4420.02,1,5869.99,4783.06,0,1,1,0.666667,HOLD
2017-10-20,6010.01,5035.21,4446.3,1,5869.99,4783.06,0,1,1,0.666667,HOLD
2017-10-21,6024.97,5111.34,4472.4,1,6010.01,4821.43,0,1,1,0.666667,HOLD
2017-10-22,5950.02,5175.86,4496.82,1,6024.97,5430.0,0,1,1,0.666667,HOLD
2017-10-23,5915.93,5232.78,4520.28,1,6024.97,5512.06,0,1,1,0.666667,HOLD
2017-10-24,5477.03,5251.57,4536.09,1,6024.97,5512.06,0,1,0,0.333333,SELL 0.3333
2017-10-25,5689.99,5285.3,4555.16,1,6024.97,5477.03,0,1,0,0.333333,HOLD
2017-10-26,5861.77,5329.64,4576.76,1,6024.97,5477.03,0,1,0,0.333333,HOLD
2017-10-27,5768.83,5363.43,4596.46,1,6024.97,5477.03,0,1,0,0.333333,HOLD
2017-10-28,5719.64,5390.83,4615.03,1,6024.97,5477.03,0,1,0,0.333333,HOLD
2017-10-29,6169.98,5450.76,4640.73,1,6024.97,5477.03,0,1,1,0.666667,BUY 0.3333
2017-10-30,6120.5,5502.28,4665.19,1,6169.98,5477.03,0,1,1,0.666667,HOLD
2017-10-31,6463.0,5576.18,4694.91,1,6169.98,5477.03,0,1,1,0.666667,HOLD
2017-11-01,6753.98,5666.78,4728.94,1,6463.0,5477.03,0,1,1,0.666667,HOLD
2017-11-02,7019.98,5770.87,4766.81,1,6753.98,5477.03,0,1,1,0.666667,HOLD
2017-11-03,7115.04,5874.27,4805.62,1,7019.98,5477.03,0,1,1,0.666667,HOLD
2017-11-04,7357.09,5988.33,4847.8,1,7115.04,5689.99,0,1,1,0.666667,HOLD
2017-11-05,7345.01,6092.69,4889.07,1,7357.09,5719.64,0,1,1,0.666667,HOLD
2017-11-06,6960.12,6159.42,4923.3,1,7357.09,5719.64,0,1,1,0.666667,HOLD
2017-11-07,7064.04,6229.0,4958.69,1,7357.09,5719.64,0,1,1,0.666667,HOLD
2017-11-08,7303.0,6311.62,4997.44,1,7357.09,6120.5,0,1,1,0.666667,HOLD
2017-11-09,7079.99,6370.73,5031.86,1,7357.09,6120.5,0,1,1,0.666667,HOLD
2017-11-10,6506.98,6381.21,5056.24,1,7357.09,6463.0,0,1,1,0.666667,HOLD
2017-11-11,6245.05,6370.73,5075.89,1,7357.09,6506.98,0,1,0,0.333333,SELL 0.3333
2017-11-12,5811.03,6327.68,5088.04,1,7357.09,6245.05,0,1,0,0.333333,HOLD
2017-11-13,6465.99,6338.32,5110.82,1,7357.09,5811.03,0,1,0,0.333333,HOLD
2017-11-14,6574.99,6356.52,5135.02,1,7357.09,5811.03,0,1,0,0.333333,HOLD
2017-11-15,7240.06,6424.49,5169.81,1,7357.09,5811.03,0,1,0,0.333333,HOLD
2017-11-16,7864.5,6535.26,5214.35,1,7357.09,5811.03,0,1,1,0.666667,BUY 0.3333
2017-11-17,7699.19,6624.79,5255.43,1,7864.5,5811.03,0,1,1,0.666667,HOLD
2017-11-18,7761.94,6712.26,5296.86,1,7864.5,5811.03,0,1,1,0.666667,HOLD
2017-11-19,8038.0,6814.24,5342.16,1,7864.5,5811.03,0,1,1,0.666667,HOLD
2017-11-20,8212.0,6921.76,5389.6,1,8038.0,5811.03,0,1,1,0.666667,HOLD
2017-11-21,8119.51,7013.9,5434.72,1,8212.0,5811.03,0,1,1,0.666667,HOLD
2017-11-22,8205.92,7105.59,5480.53,1,8212.0,5811.03,0,1,1,0.666667,HOLD
2017-11-23,8019.99,7175.93,5522.5,1,8212.0,6465.99,0,1,1,0.666667,HOLD
2017-11-24,8138.0,7249.94,5565.73,1,8212.0,6574.99,0,1,1,0.666667,HOLD
2017-11-25,8700.01,7361.48,5617.54,1,8212.0,7240.06,0,1,1,0.666667,HOLD
2017-11-26,9128.02,7497.37,5675.56,1,8700.01,7699.19,0,1,1,0.666667,HOLD
2017-11-27,9650.0,7662.95,5741.26,1,9128.02,7699.19,0,1,1,0.666667,HOLD
